Congressional District,Count of Internal ID
- None -,30431
HAK01,30179
HAL01,5345
HAL02,13909
HAL03,8447
HAL04,5320
HAL05,2487
HAL06,9203
HAL07,11703
HAR01,6835
HAR02,6782
HAR03,9664
HAR04,6763
HAZ01,16669
HAZ02,15436
HAZ03,9974
HAZ04,23669
HAZ05,10273
HAZ06,16126
HAZ07,11128
HAZ08,9047
HAZ09,23187
HCA01,5460
HCA02,1410
HCA03,5543
HCA04,12734
HCA05,1091
HCA06,2172
HCA07,14025
HCA08,433
HCA09,2167
HCA10,1638
HCA11,1783
HCA12,145
HCA13,145
HCA14,176
HCA15,485
HCA16,1195
HCA17,269
HCA18,100
HCA19,231
HCA20,334
HCA21,5950
HCA22,7022
HCA23,16266
HCA24,4214
HCA25,15233
HCA26,7571
HCA27,95
HCA28,112
HCA29,92
HCA30,133
HCA31,198
HCA32,2979
HCA33,94
HCA34,44
HCA35,2285
HCA36,2576
HCA37,67
HCA38,5276
HCA39,360
HCA40,5088
HCA41,437
HCA42,3281
HCA43,86
HCA44,3863
HCA45,3608
HCA46,3292
HCA47,580
HCA48,5835
HCA49,1341
HCA50,6658
HCA51,6737
HCA52,3477
HCA53,2551
HCO01,11422
HCO02,16596
HCO03,17273
HCO04,14873
HCO05,19116
HCO06,3732
HCO07,12000
HCT01,11663
HCT02,3834
HCT03,285
HCT04,1842
HCT05,11309
HDC01,81
HDE01,87
HFL01,7749
HFL02,5865
HFL03,10758
HFL04,12001
HFL05,10401
HFL06,4868
HFL07,8975
HFL08,4664
HFL09,17505
HFL10,20274
HFL11,2566
HFL12,3826
HFL13,10496
HFL14,4385
HFL15,11201
HFL16,11779
HFL17,5389
HFL18,728
HFL19,328
HFL20,103
HFL21,3569
HFL22,9583
HFL23,2093
HFL24,77
HFL25,236
HFL26,160
HFL27,235
HGA01,6500
HGA02,7847
HGA03,18209
HGA04,6670
HGA05,203
HGA06,416
HGA07,5601
HGA08,2219
HGA09,9345
HGA10,8550
HGA11,10225
HGA12,2895
HGA13,6799
HGA14,11675
HHI01,6056
HHI02,6837
HIA01,9393
HIA02,8232
HIA03,6318
HIA04,15040
HIA05,537
HID01,17594
HID02,16550
HIL01,1403
HIL02,2429
HIL03,1920
HIL04,75
HIL05,1875
HIL06,2388
HIL07,554
HIL08,6639
HIL09,1977
HIL10,2444
HIL11,3601
HIL12,12974
HIL13,5364
HIL14,9700
HIL15,11073
HIL16,6385
HIL17,5852
HIL18,6301
HIL19,857
HIN01,946
HIN02,5630
HIN03,8468
HIN04,7629
HIN05,8441
HIN06,12293
HIN07,8796
HIN08,3854
HIN09,14340
HKS01,8972
HKS02,14164
HKS03,7864
HKS04,13729
HKY01,10983
HKY02,9651
HKY03,2483
HKY04,13304
HKY05,3024
HKY06,9109
HLA01,17714
HLA02,15343
HLA03,20789
HLA04,18961
HLA05,8831
HLA06,14909
HLA07,1178
HMA01,5087
HMA02,10204
HMA03,328
HMA04,102
HMA05,131
HMA06,158
HMA07,31
HMA08,34
HMA09,318
HMD01,6548
HMD02,1121
HMD03,2520
HMD04,1636
HMD05,3058
HMD06,1170
HMD07,370
HMD08,529
HME01,5247
HME02,6225
HMI01,8540
HMI02,12882
HMI03,12705
HMI04,23458
HMI05,10436
HMI06,22232
HMI07,21949
HMI08,12787
HMI09,3183
HMI10,5275
HMI11,9577
HMI12,10397
HMI13,353
HMI14,795
HMI15,1075
HMN01,8712
HMN02,2550
HMN03,775
HMN04,315
HMN05,2646
HMN06,9282
HMN07,7111
HMN08,5905
HMO01,3833
HMO02,1402
HMO03,11695
HMO04,14645
HMO05,4554
HMO06,5933
HMO07,13737
HMO08,6884
HMO09,3293
HMS01,10521
HMS02,3333
HMS03,12088
HMS04,6885
HMT01,30888
HNC01,2923
HNC02,1650
HNC03,10343
HNC04,8707
HNC05,5762
HNC06,3778
HNC07,11243
HNC08,8177
HNC09,6570
HNC10,14182
HNC11,8189
HNC12,1021
HNC13,9779
HND01,3319
HNE01,16710
HNE02,2504
HNE03,10601
HNH01,6727
HNH02,5597
HNJ01,1163
HNJ02,1310
HNJ03,3496
HNJ04,6910
HNJ05,484
HNJ06,2589
HNJ07,5839
HNJ08,184
HNJ09,444
HNJ10,93
HNJ11,370
HNJ12,3067
HNM01,10294
HNM02,6525
HNM03,8617
HNV01,7672
HNV02,10657
HNV03,6272
HNV04,5779
HNY01,333
HNY02,1642
HNY03,213
HNY04,4157
HNY05,8
HNY06,5
HNY07,15
HNY08,6
HNY09,12
HNY10,20
HNY11,383
HNY12,43
HNY13,6
HNY14,14
HNY15,2
HNY16,57
HNY17,404
HNY18,1659
HNY19,3932
HNY20,6058
HNY21,2489
HNY22,2774
HNY23,1990
HNY24,3432
HNY25,2860
