id		rate
101	1	158
102	2	139
103	3	188
104	4	247
105	5	87
106	6	287
107	7	232
200	8	1061
401	9	121
402	10	56
403	11	40
404	12	238
405	13	33
406	14	55
407	15	59
408	16	21
409	17	58
501	18	186
502	19	102
503	20	107
504	21	94
601	22	109
602	23	20
603	24	163
604	25	167
605	26	50
606	27	38
607	28	90
608	29	6
609	30	154
610	31	166
611	32	38
612	33	1
613	34	3
614	35	5
615	36	21
616	37	33
617	38	8
618	39	4
619	40	7
620	41	14
621	42	31
622	43	60
623	44	67
624	45	59
625	46	68
626	47	14
627	48	13
628	49	4
629	50	1
630	51	5
631	52	2
632	53	24
633	54	5
634	55	13
635	56	44
636	57	5
637	58	4
638	59	22
639	60	37
640	61	70
641	62	9
642	63	31
643	64	3
644	65	17
645	66	42
646	67	104
647	68	20
648	69	54
649	70	63
650	71	119
651	72	98
652	73	40
653	74	41
801	75	137
802	76	253
803	77	362
804	78	473
805	79	188
806	80	64
807	81	170
901	82	102
902	83	31
903	84	9
904	85	1
905	86	65
1000	87	4
1101	88	6
1201	89	156
1202	90	41
1203	91	498
1204	92	199
1205	93	213
1206	94	242
1207	95	296
1208	96	32
1209	97	85
1210	98	257
1211	99	132
1212	100	41
1213	101	79
1214	102	55
1215	103	260
1216	104	218
1217	105	91
1218	106	5
1219	107	10
1220	108	16
1221	109	37
1222	110	156
1223	111	37
1224	112	4
1225	113	5
1226	114	1
1227	115	4
1301	116	265
1302	117	89
1303	118	289
1304	119	110
1305	120	30
1306	121	14
1307	122	71
1308	123	103
1309	124	249
1310	125	122
1311	126	141
1312	127	118
1313	128	61
1314	129	248
1501	130	45
1502	131	61
1901	132	604
1601	133	349
1602	134	277
1701	135	14
1702	136	8
1703	137	10
1704	138	3
1705	139	36
1706	140	32
1707	141	17
1708	142	72
1709	143	29
1710	144	82
1711	145	26
1712	146	301
1713	147	282
1714	148	128
1715	149	566
1716	150	118
1717	151	170
1718	152	91
1801	154	68
1802	155	278
1803	156	370
1804	157	373
1805	158	191
1806	159	317
1807	160	109
1808	161	327
1809	162	155
1901		325
1902	163	252
1903	164	259
1904	165	400
1905	166	252
2001	167	325
2002	168	252
2003	169	259
2004	170	400
2101	171	209
2102	172	110
2103	173	365
2104	174	233
2105	175	101
2106	176	344
2201	177	365
2202	178	233
2203	179	101
2204	180	344
2205	181	45
2206	182	52
2207	183	7
2301	184	35
2302	185	368
2401	186	45
2402	187	26
2403	188	60
2404	189	129
2405	190	58
2406	191	61
2407	192	20
2408	193	36
2501	194	45
2502	195	52
2503	196	7
2504	197	4
2505	198	3
2506	199	6
2507	200	4
2508	201	3
2509	202	638
2601	203	183
2602	204	170
2603	205	190
2604	206	638
2605	207	266
2606	208	228
2607	209	225
2608	210	175
2609	211	8
2610	212	134
2611	213	92
2612	214	113
2613	215	42
2614	216	14
2701	218	1393
2702	219	276
2703	220	72
2704	221	19
2705	222	34
2706	223	180
2707	224	473
2708	225	264
2801	226	116
2802	227	16
2803	228	95
2804	229	60
2901	230	2
2902	231	33
2903	232	211
2904	233	301
2905	234	161
2906	235	261
2907	236	200
2908	237	49
3000	239	1132
3101	240	824
3102	241	185
3103	242	961
3201	243	54
3202	244	841
3203	245	61
3204	246	62
3301	247	42
3302	248	36
3401	249	4
3402	250	21
3403	251	122
3404	252	161
3405	253	24
3406	254	55
3407	255	43
3408	256	1
3409	257	14
3410	258	3
3411	259	17
3412	260	23
3501	261	204
3502	262	320
3503	263	490
3601	264	8
3602	265	2
3604	267	7
3605	268	2
3607	270	3
3610	273	3
3611	274	3
3612	275	2
3616	279	1
3617	280	3
3618	281	12
3619	282	117
3620	283	146
3621	284	127
3622	285	100
3623	286	92
3624	287	48
3625	288	11
3626	289	15
3627	290	307
3701	293	72
3702	294	38
3703	295	127
3704	296	40
3705	297	63
3706	298	114
3707	299	91
3708	300	63
3709	301	63
3710	302	161
3711	303	20
3712	304	28
3713	305	140
3800	306	91
3901	307	129
3902	308	184
3903	309	17
3904	310	487
3905	311	565
3906	312	136
3907	313	874
3908	314	256
3909	315	83
3910	316	39
3911	317	32
3912	318	261
3913	319	53
3914	320	419
3915	321	193
3916	322	405
4001	325	237
4002	326	259
4003	327	480
4004	328	277
4005	329	296
4101	330	196
4102	331	517
4103	332	223
4104	333	562
4105	334	479
4202	336	1
4203	337	285
4204	338	195
4205	339	348
4206	340	153
4207	341	178
4208	342	55
4209	343	293
4210	344	188
4211	345	48
4212	346	105
4213	347	14
4214	348	24
4215	349	157
4216	350	316
4217	351	87
4218	352	274
4401	354	1
4402	355	1
4501	356	54
4502	357	74
4503	358	51
4504	359	343
4505	360	198
4506	361	52
4507	362	63
4600	363	697
4701	364	27
4702	365	90
4703	366	176
4704	367	134
4705	368	57
4706	369	134
4707	370	277
4708	371	462
4709	372	188
4801	373	388
4802	374	33
4803	375	207
4804	376	341
4805	377	235
4806	378	196
4807	379	41
4808	380	104
4809	381	37
4810	382	226
4811	383	769
4812	384	232
4813	385	362
4814	386	40
4815	387	156
4816	388	14
4817	389	201
4818	390	82
4819	391	727
4820	392	63
4821	393	144
4822	394	110
4823	395	230
4824	396	124
4825	397	263
4826	398	98
4827	399	158
4828	400	122
4829	401	31
4830	402	71
4831	403	210
4832	404	147
4833	405	149
4834	406	123
4835	407	147
4836	408	78
4901	409	115
4902	410	200
4903	411	201
4904	412	270
5000	413	45
5101	414	16
5102	415	104
5103	416	65
5104	417	67
5105	418	27
5106	419	41
5107	420	87
5108	421	9
5109	422	9
5110	423	42
5111	424	7
5301	425	249
5302	426	174
5303	427	487
5304	428	165
5305	429	189
5306	430	254
5307	431	83
5308	432	196
5309	433	124
5310	434	484
5401	435	35
5402	436	139
5403	437	73
5501	438	111
5502	439	117
5503	440	286
5504	441	25
5505	442	205
5506	443	400
5507	444	163
5508	445	222
5600	446	608
