		id	rate
HMT01	239		30888
HAK01	8	8	30179
HAZ04	12		23669
HMI04	206		23458
HAZ09	17		23187
HMI06	208		22232
HMI07	209		21949
HTN07	370		21352
HLA03	179		20789
HFL10	98		20274
HTX04	376		19550
HTN08	371		19132
HCO05	79		19116
HLA04	180		18961
HPA06	340		18856
HTX19	391		18241
HGA03	118		18209
HVA02	415		18025
HOR02	331		17967
HLA01	177		17714
HID01	133		17594
HFL09	97		17505
HPA16	350		17475
HCO03	77		17273
HOK02	326		17218
HNE01	240		16710
HAZ01	9		16669
HCO02	76		16596
HID02	134		16550
HOH05	311		16546
HTX31	403		16305
HSC05	360		16303
HCA23	44		16266
HUT04	412		16219
HAZ06	14		16126
HTX03	375		15696
HAZ02	10		15436
HLA02	178		15343
HCA25	46		15233
HTX11	383		15216
HWA03	427		15051
HIA04	165		15040
HLA06	182		14909
HSC04	359		14888
HCO04	78		14873
HMO04	233		14645
HOH14	320		14524
HTX12	384		14377
HIN09	162		14340
HPA15	349		14233
HNC10	302		14182
HKS02	168		14164
HCA07	28		14025
HOH04	310		14005
HAL02	2		13909
HWA01	425		13819
HMO07	236		13737
HKS04	170		13729
HTX24	396		13384
HKY04	174		13304
HVA07	420		13209
HIL12	146		12974
HMI02	204		12882
HMI08	210		12787
HCA04	25		12734
HMI03	205		12705
HOK01	325		12429
HWA05	429		12404
HIN06	159		12293
HOH16	322		12149
HMS03	228		12088
HFL04	92		12001
HCO07	81		12000
HOK03	327		11907
HOH12	318		11884
HFL16	104		11779
HTN04	367		11715
HAL07	7		11703
HMO03	232		11695
HGA14	129		11675
HCT01	82		11663
HTX10	382		11606
HTX25	397		11590
HUT02	410		11543
HCO01	75		11422
HWI06	443		11418
HTX01	373		11356
HTN03	366		11348
HCT05	86		11309
HNC07	299		11243
HFL15	103		11201
HAZ07	15		11128
HSD01	363		11100
HIL15	149		11073
HTX06	378		11012
HKY01	171		10983
HWV02	436		10800
HTX20	392		10763
HFL03	91		10758
HSC07	362		10747
HNV02	244		10657
HNE03	242		10601
HOH08	314		10587
HTX05	377		10522
HMS01	226		10521
HTN02	365		10518
HFL13	101		10496
HPA09	343		10441
HMI05	207		10436
HFL05	93		10401
HMI12	214		10397
HVA04	417		10367
HNC03	295		10343
HNM01	261		10294
HAZ05	13		10273
HGA11	126		10225
HMA02	195		10204
HTX13	385		10172
HWA10	434		10108
HAZ03	11		9974
HOK05	329		9863
HOH02	308		9805
HNC13	305		9779
HTX21	393		9751
HIL14	148		9700
HAR03	20		9664
HKY02	172		9651
HFL22	110		9583
HMI11	213		9577
HWA09	433		9524
HUT03	411		9465
HIA01	132		9393
HWA08	432		9355
HGA09	124		9345
HNY27	290		9315
HMN06	223		9282
HPA17	351		9219
HAL06	6		9203
HKY06	176		9109
HAZ08	16		9047
HFL07	95		8975
HKS01	167		8972
HPA18	352		8962
HOR01	330		8960
HPA10	344		8939
HTX17	389		8902
HOH15	321		8900
HLA05	181		8831
HIN07	160		8796
HTX35	407		8732
HMN01	218		8712
HNC04	296		8707
HOK04	328		8697
HWA02	426		8676
HNM03	263		8617
HPA03	337		8582
HGA10	125		8550
HUT01	409		8548
HMI01	203		8540
HTX23	395		8535
HOR04	333		8530
HIN03	156		8468
HAL03	3		8447
HIN05	158		8441
HTX33	405		8418
HWI05	442		8378
HIA02	163		8232
HNC11	303		8189
HNC08	300		8177
HWI02	439		7892
HTN06	369		7876
HKS03	169		7864
HGA02	117		7847
HTN09	372		7775
HFL01	89		7749
HTX32	404		7725
HNV01	243		7672
HIN04	157		7629
HCA26	47		7571
HWY01	446		7328
HOH09	315		7281
HOH07	313		7234
HWA04	428		7212
HOH13	319		7190
HMN07	224		7111
HCA22	43		7022
HNJ04	252		6910
HMS04	229		6885
HMO08	237		6884
HHI02	131		6837
HAR01	18		6835
HGA13	128		6799
HAR02	19		6782
HAR04	21		6763
HCA51	72		6737
HNH01	247		6727
HWA06	430		6681
HGA04	119		6670
HCA50	71		6658
HIL08	142		6639
HNC09	301		6570
HWV03	437		6565
HSC01	356		6550
HMD01	186		6548
HOR05	334		6534
HNM02	262		6525
HGA01	116		6500
HTX28	400		6489
HIL16	150		6385
HIA03	164		6318
HIL18	152		6301
HNV03	245		6272
HPA08	342		6248
HME02	185		6225
HNY26	289		6082
HNY20	283		6058
HHI01	130		6056
HTX27	399		6048
HCA21	42		5950
HMO06	235		5933
HTX26	398		5906
HMN08	225		5905
HPA05	339		5884
HFL02	90		5865
HIL17	151		5852
HVA06	419		5845
HNJ07	255		5839
HCA48	69		5835
HOH06	312		5831
HVA10	423		5825
HNV04	246		5779
HNC05	297		5762
HWI01	438		5736
HIN02	155		5630
HGA07	122		5601
HNH02	248		5597
HTX02	374		5592
HCA03	24		5543
HTX16	388		5536
HCA01	22		5460
HFL17	105		5389
HOR03	332		5382
HIL13	147		5364
HAL01	1		5345
HAL04	4		5320
HCA38	59		5276
HMI10	212		5275
HME01	184		5247
HSC02	357		5101
HCA40	61		5088
HMA01	194		5087
HTX08	380		5036
HWI08	445		5018
HFL06	94		4868
HVA05	418		4776
HFL08	96		4664
HMO05	234		4554
HOH10	316		4516
HFL14	102		4385
HTN05	368		4372
HCA24	45		4214
HNY04	267		4157
HNY19	282		3932
HPA11	345		3893
HCA44	65		3863
HIN08	161		3854
HTX22	394		3851
HCT02	83		3834
HMO01	230		3833
HFL12	100		3826
HNC06	298		3778
HPA07	341		3735
HCO06	80		3732
HCA45	66		3608
HIL11	145		3601
HFL21	109		3569
HPA04	338		3545
HPA12	346		3541
HNJ03	251		3496
HCA52	73		3477
HTN01	364		3451
HNY24	287		3432
HMS02	227		3333
HND01	306		3319
HMO09	238		3293
HCA46	67		3292
HTX36	408		3287
HCA42	63		3281
HMI09	211		3183
HWI04	441		3129
HWI03	440		3104
HNJ12	260		3067
HMD05	190		3058
HKY05	175		3024
HCA32	53		2979
HNC01	293		2923
HGA12	127		2895
HOH01	307		2889
HNY25	288		2860
HNY22	285		2774
HPA14	348		2759
HVT01	413		2756
HWA07	431		2733
HSC06	361		2648
HMN05	222		2646
HTX30	402		2598
HNJ06	254		2589
HCA36	57		2576
HFL11	99		2566
HCA53	74		2551
HMN02	219		2550
HTX14	386		2532
HMD03	188		2520
HNE02	241		2504
HNY21	284		2489
HAL05	5		2487
HKY03	173		2483
HTX34	406		2475
HVA09	422		2474
HIL10	144		2444
HIL02	136		2429
HSC03	358		2390
HIL06	140		2388
HVA03	416		2365
HCA35	56		2285
HGA08	123		2219
HCA06	27		2172
HCA09	30		2167
HFL23	111		2093
HPA13	347		2062
HWI07	444		2056
HNY23	286		1990
HIL09	143		1977
HTX15	387		1921
HIL03	137		1920
HIL05	139		1875
HCT04	85		1842
HCA11	32		1783
HOH18	324		1781
HNY18	281		1659
HNC02	294		1650
HTX09	381		1645
HNY02	265		1642
HCA10	31		1638
HWV01	435		1637
HMD04	189		1636
HNY29	292		1574
HOH03	309		1559
HCA02	23		1410
HIL01	135		1403
HMO02	231		1402
HCA49	70		1341
HNJ02	250		1310
HCA16	37		1195
HLA07	183		1178
HMD06	191		1170
HNJ01	249		1163
HMD02	187		1121
HCA05	26		1091
HMI15	217		1075
HNC12	304		1021
HPA01	335		966
HIN01	154		946
HIL19	153		857
HMI14	216		795
HMN03	220		775
HVA01	414		775
HFL18	106		728
HTX18	390		685
HCA47	68		580
HIL07	141		554
HIA05	166		537
HMD08	193		529
HCA15	36		485
HNJ05	253		484
HNJ09	257		444
HCA41	62		437
HCA08	29		433
HGA06	121		416
HNY17	280		404
HNY11	274		383
HMD07	192		370
HNJ11	259		370
HCA39	60		360
HTX07	379		359
HMI13	215		353
HTX29	401		350
HCA20	41		334
HNY01	264		333
HFL19	107		328
HMA03	196		328
HMA09	202		318
HMN04	221		315
HCT03	84		285
HCA17	38		269
HFL25	113		236
HFL27	115		235
HCA19	40		231
HNY03	266		213
HOH11	317		212
HGA05	120		203
HCA31	52		198
HNJ08	256		184
HCA14	35		176
HFL26	114		160
HMA06	199		158
HCA12	33		145
HCA13	34		145
HNY28	291		141
HCA30	51		133
HMA05	198		131
HCA28	49		112
HRI01	354		108
HRI02	355		107
HFL20	108		103
HMA04	197		102
HCA18	39		100
HCA27	48		95
HCA33	54		94
HNJ10	258		93
HCA29	50		92
HDE01	87		87
HCA43	64		86
HDC01	88		81
HFL24	112		77
HIL04	138		75
HCA37	58		67
HVA08	421		62
HNY16	279		57
HCA34	55		44
HNY12	275		43
HVA11	424		41
HMA08	201		34
HMA07	200		31
HNY10	273		20
HNY07	270		15
HNY14	277		14
HNY09	272		12
HPA02	336		11
HNY05	268		8
HNY08	271		6
HNY13	276		6
HNY06	269		5
HNY15	278		2
HOH17	323		1
HPA19	353		1
